Fecha,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020
Ciudad Real,,,,1,1,1,1,2,3,8,22,40,44,58,85,127,139,164,216,400,505,,,,885,1147,1422,1543,1755,2041,2297,2471,2807,3098,3496,3854,4125,4298,4449,4720,4917,5138,5267,5442,5563,5717,5962,6116,6212,6300,6358,6527,6642,6741,6919,7077,7281,7369,7411,7500,7555,7622,7705,7771,7801,7831,7956,8031,8119,8205,8293,8372,8406,8433
Albacete,,2,2,2,2,2,2,2,2,3,8,34,38,70,79,126,148,216,258,322,430,,,,567,666,780,1114,1386,1537,1707,1933,2098,2386,2548,2653,2751,2832,3087,3212,3343,3404,3450,3506,3543,3575,3600,3673,3709,3732,3754,3771,3815,3833,3931,3990,4075,4105,4142,4228,4298,4386,4508,4526,4545,4578,4679,4726,4799,4899,4948,4962,4967,5025
Toledo,,,2,2,2,2,2,3,3,6,12,28,31,49,98,133,179,208,293,370,501,,,,752,965,1112,1192,1317,1426,1484,1593,1673,1848,1994,2169,2283,2434,2597,2763,2922,2984,3020,3052,3098,3193,3335,3751,3831,3908,3938,3957,4028,4094,4193,4309,4398,4492,4541,4570,4635,4744,4883,4943,4967,4979,5025,5076,5135,5208,5307,5353,5374,5410
Guadalajara,1,1,2,7,8,10,11,14,18,22,29,63,70,88,109,137,145,151,205,237,263,,,,404,428,440,441,535,586,643,753,796,824,837,858,873,897,973,994,1036,1056,1077,1134,1195,1226,1245,1312,1345,1400,1431,1450,1483,1521,1572,1641,1690,1722,1740,1758,1799,1850,1866,1938,1996,2006,2056,2096,2122,2140,2198,2207,2213,2215
Cuenca,,,,,,,,,,,,8,11,24,30,44,51,62,72,94,120,,,,172,177,180,222,253,268,293,297,308,367,449,497,570,616,682,800,845,874,884,920,930,969,1009,1145,1252,1285,1315,1340,1353,1368,1438,1508,1551,1598,1684,1739,1784,1914,2061,2112,2202,2262,2450,2638,2733,2841,2916,2975,3091,3102
Total CLM,1,3,6,12,13,15,16,21,26,39,71,173,194,289,401,567,662,801,1044,1423,1819,,2078,2465,2780,3383,3934,4512,5246,5858,6424,7047,7682,8523,9324,10031,10602,11077,11788,12489,13063,13456,13698,14054,14329,14680,15151,15997,16349,16625,16796,17045,17321,17557,18053,18525,18995,19286,19518,19795,20071,20516,21023,21290,21511,21656,22166,22567,22908,23293,23662,23869,24051,24185
Ciudad Real,,,,1,0,0,0,1,1,5,14,18,4,14,27,42,12,25,52,184,105,,,,380,262,275,121,212,286,256,174,336,291,398,358,271,173,151,271,197,221,129,175,121,154,245,154,96,88,58,169,115,99,178,158,204,88,42,89,55,67,83,66,30,30,125,75,88,86,88,79,34,27
Albacete,,2,0,0,0,0,0,0,0,1,5,26,4,32,9,47,22,68,42,64,108,,,,137,99,114,334,272,151,170,226,165,288,162,105,98,81,255,125,131,61,46,56,37,32,25,73,36,23,22,17,44,18,98,59,85,30,37,86,70,88,122,18,19,33,101,47,73,100,49,14,5,58
Toledo,,,2,0,0,0,0,1,0,3,6,16,3,18,49,35,46,29,85,77,131,,,,251,213,147,80,125,109,58,109,80,175,146,175,114,151,163,166,159,62,36,32,46,95,142,416,80,77,30,19,71,66,99,116,89,94,49,29,65,109,139,60,24,12,46,51,59,73,99,46,21,36
Guadalajara,1,0,1,5,1,2,1,3,4,4,7,34,7,18,21,28,8,6,54,32,26,,,,141,24,12,1,94,51,57,110,43,28,13,21,15,24,76,21,42,20,21,57,61,31,19,67,33,55,31,19,33,38,51,69,49,32,18,18,41,51,16,72,58,10,50,40,26,18,58,9,6,2
Cuenca,,,,,,,,,,,,8,3,13,6,14,7,11,10,22,26,,,,52,5,3,42,31,15,25,4,11,59,82,48,73,46,66,118,45,29,10,36,10,39,40,136,107,33,30,25,13,15,70,70,43,47,86,55,45,130,147,51,90,60,188,188,95,108,75,59,116,11
Nuevos CLM,1,2,3,6,1,2,1,5,5,13,32,102,21,95,112,166,95,139,243,379,396,,259,387,961,603,551,578,734,612,566,623,635,841,801,707,571,475,711,701,574,393,242,356,275,351,471,846,352,276,171,249,276,236,496,472,470,291,232,277,276,445,507,267,221,145,510,401,341,385,369,207,182,134
