Fecha,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020
H. Tomelloso,,,,,,,,,,,,,,,,,,,,,,,93,109,117,111,125,134,133,148,142,141,144,144,143,127,114,120,117,116,99,92,81,85,78,78,69,61,61,54,53,52,48,38,40,34,27,29,28,31,26,26,26,28,28,31,33,32,30,31,28,28,30,33,27,23,24,25,25,23,20,17,12,14,13,13,10,10,12,10,9,8
H. Manzanares,,,,,,,,,,,,,,,,,,,,,,,23,30,38,34,41,51,56,63,65,68,64,65,61,53,53,53,53,48,48,37,35,36,35,34,32,22,21,17,20,18,20,19,14,13,13,14,11,15,14,11,11,6,6,5,3,4,6,6,6,6,6,8,7,6,3,6,6,4,7,5,3,3,3,0,1,1,1,2,3,0
H. U. CR,,,,,,,,,,,,,,,,,,,,,,,106,116,132,253,299,351,328,383,372,390,374,379,360,334,344,349,336,304,270,245,226,243,244,236,219,200,195,191,192,192,177,182,164,151,131,128,129,114,103,99,90,94,85,87,88,93,80,75,61,61,53,41,36,42,34,37,32,33,32,32,34,25,35,43,37,34,27,22,19,18
H. Mancha Centro,,,,,,,,,,,,,,,,,,,,,,,175,207,213,213,299,326,342,353,383,391,389,394,423,378,350,336,319,290,261,238,229,221,203,184,183,181,171,158,147,142,140,140,136,137,131,123,121,124,121,112,104,101,98,94,93,92,93,90,66,67,67,50,48,37,31,24,23,24,19,15,10,9,9,8,9,8,9,8,8,8
H. Puertollano,,,,,,,,,,,,,,,,,,,,,,,18,40,36,48,97,96,111,112,112,117,121,122,106,89,80,78,76,74,60,64,52,54,50,50,44,37,38,28,29,33,23,21,14,18,15,13,13,14,13,17,5,6,5,6,6,5,3,2,2,2,2,2,1,2,4,1,2,2,2,2,2,1,1,1,1,1,1,0,0,0
H. Valdepeñas,,,,,,,,,,,,,,,,,,,,,,,40,46,51,51,53,54,79,71,73,92,78,78,76,89,77,81,71,71,66,60,57,60,53,54,47,48,49,45,46,41,40,38,37,34,28,28,28,26,21,16,15,15,14,15,17,26,19,16,14,15,15,16,18,14,7,8,7,7,5,6,6,4,5,4,3,2,2,2,4,4
C. H. Albacete,,,,,,,,,,,,,,,,,,,,,,,249,286,323,398,424,492,502,551,576,545,554,570,585,575,577,568,531,489,460,435,395,372,333,311,288,288,270,228,226,233,221,209,201,188,175,157,164,157,150,138,123,123,119,115,108,106,95,87,83,84,84,72,63,59,59,54,55,59,56,54,52,47,41,40,38,34,35,41,39,39
Almansa,,,,,,,,,,,,,,,,,,,,,,,7,7,5,5,45,53,59,58,60,56,58,57,56,51,47,39,30,30,30,29,29,26,22,19,20,17,20,10,10,9,8,8,9,9,10,6,12,10,8,7,4,3,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. Villarrobledo,,,,,,,,,,,,,,,,,,,,,,,62,70,79,85,110,101,110,119,101,121,129,118,117,108,103,100,92,84,66,60,61,59,66,57,61,56,58,49,48,46,44,34,34,38,37,37,34,29,22,23,23,32,27,25,22,16,18,17,11,15,16,14,15,14,14,13,13,15,12,9,13,13,10,12,13,12,10,10,7,5
H. Hellín,,,,,,,,,,,,,,,,,,,,,,,39,41,50,53,64,66,70,71,71,67,66,54,51,49,49,49,49,47,39,38,32,30,33,29,37,36,37,36,33,30,30,29,28,17,17,14,14,10,10,7,5,7,8,8,6,6,7,6,6,5,5,5,5,4,4,3,3,4,3,3,4,3,3,5,3,3,3,0,0,0
